Range;Count
0;1669
-260;11
260;7
-140;166
140;98
-400;1
400;0
-20;1667
20;1095
-280;8
280;5
-160;92
160;61
-420;0
420;0
-40;1088
40;745
-300;3
300;5
-180;71
180;40
-440;1
440;0
-60;719
60;490
-320;4
320;7
-200;47
200;26
-460;0
460;1
-80;497
80;356
-340;5
340;1
-220;42
220;24
-480;0
480;0
-100;316
100;230
-360;3
360;0
-240;23
240;12
-500;0
-120;230
120;131
-380;1
380;1
